Player,Team,Age,Season,MV1,MV2,MP,Starts,Min,90s,Overall_Performance_Index,Team_Rating,Latest_Transfer_Fee,Delta_MV,Log_MV1,Log_MV2,Log_Return_MV,Age_Original,Perf_MV1_Interaction,Comp_eng Premier League,Comp_es La Liga,Comp_fr Ligue 1,Comp_it Serie A,Nationality_France,Nationality_Germany,Nationality_Italy,Nationality_Other,Nationality_Spain,Position_Central Midfielder,Position_Centre-Back,Position_Centre-Forward,Position_Defensive Midfielder,Position_Goalkeeper,Position_Wing-Back,Position_Winger
Aaron Cresswell,West Ham,0.22352799113878521,2017/2018,12.0,12.0,1.2569907555569837,35,1.4637232132926417,34.1,-0.44466209364619314,-1.0385716256615225,-0.3254338814794644,0.0,0.3193978243747237,2.4849066497880004,0.0,27,-0.14202410529250373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aaron Cresswell,West Ham,0.4815510426384938,2018/2019,10.0,10.0,-0.44542328018492305,18,-0.20399710707432345,17.7,-0.20372732573235064,-0.41183101336498684,-0.3254338814794644,0.0,0.1740170085240678,2.302585092994046,0.0,28,-0.035452019778551995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aaron Cresswell,West Ham,0.7395740941382024,2019/2020,8.0,6.5,0.7249863693876378,31,1.0783445987213565,30.3,-0.17407610947384952,-0.7805019617747092,-0.3254338814794644,-18.75,-0.003914729841541999,1.8718021769015913,-0.2076393647782444,29,0.0006814609404568106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aaron Cresswell,West Ham,0.997597145637911,2020/2021,6.5,5.0,1.2569907555569837,36,1.577533856777144,35.2,-0.3085051107696781,0.25177669377252027,-0.3254338814794644,-23.076923076923077,-0.16948363340398717,1.6094379124341003,-0.26236426446749106,30,0.05228656709694458,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aaron Wan-Bissaka,Crystal Palace,-1.8406564208588836,2017/2018,1.0,1.0,-1.8286346842252224,7,-1.2880153153128506,7.0,-0.1447226301761251,-0.6699006772517915,-0.5967941862443882,0.0,-1.6620341160466978,0.0,0.0,19,0.24053394871672926,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aaron Wan-Bissaka,Crystal Palace,-1.582633369359175,2018/2019,5.0,35.0,1.1505898783231145,35,1.5369676868222717,34.8,0.22046651774848838,-0.37496391852401284,-0.5967941862443882,600.0,-0.37868945354431777,3.5553480614894135,1.9459101490553132,20,-0.0834883451309937,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aaron Wan-Bissaka,Man United,-1.3246103178594664,2019/2020,40.0,32.0,1.1505898783231145,34,1.4648500513469436,34.1,0.8222724163921181,0.8047831163871252,2.5416018618546135,-20.0,1.2794299326608383,3.4657359027997265,-0.2231435513142097,21,1.0520399423334323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aaron Wan-Bissaka,Man United,-1.0665872663597578,2020/2021,40.0,40.0,1.0441890010892454,34,1.4535816708039235,34.0,1.4846245793376807,0.7679160215461412,2.5416018618546135,0.0,1.2794299326608383,3.6888794541139363,0.0,22,1.8994731255686341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aarón Martín,Espanol,-1.582633369359175,2017/2018,10.0,12.0,0.8313872466215071,31,1.1786331855542347,31.3,-1.2592823534891118,-0.5224322978879041,-0.5967941862443882,20.0,0.1740170085240678,2.4849066497880004,0.18232155679395445,20,-0.2191365480413229,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Aarón Martín,Mainz,-1.3246103178594664,2018/2019,10.0,20.0,0.9377881238553762,32,1.248497144920959,32.0,-0.28663663128869377,-0.7518275546761936,-0.5967941862443882,100.0,0.1740170085240678,2.995732273553991,0.693147180559945,21,-0.0498796491102747,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Aarón Martín,Mainz,-1.0665872663597578,2019/2020,16.0,10.5,-0.2326215257171847,21,0.02475101794898324,19.9,-1.4631728009300644,-1.1614619417981202,-0.25442370826995164,-34.375,0.5487917322268434,2.3513752571634776,-0.42121346507630353,22,-0.8029771359696124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Aarón Martín,Celta,-0.8085642148600493,2020/2021,7.0,4.5,-0.5518241574187922,17,-0.2592121717351216,17.1,-2.1214117749067936,-0.3749639185240158,-0.25442370826995164,-35.714285714285715,-0.11039090930597188,1.5040773967762742,-0.44183275227903906,23,0.23418457484435667,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Abdoulaye Bamba,Angers,0.22352799113878521,2017/2018,1.0,1.0,-0.6582250346526614,17,-0.26710003811523564,17.0,-0.9586728408845409,-0.6699006772517949,-0.5967941862443882,0.0,-1.6620341160466978,0.0,0.0,27,1.5933469676775145,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Abdoulaye Bamba,Angers,0.4815510426384938,2018/2019,1.0,3.0,0.6185854921537687,29,0.9048115383588479,28.6,-0.4737056294303025,-0.4855652030469321,-0.5967941862443882,200.0,-1.6620341160466978,1.0986122886681098,1.0986122886681098,28,0.7873149170765373,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Abdoulaye Bamba,Angers,0.7395740941382024,2019/2020,2.5,2.0,-1.8286346842252224,6,-1.3702744932768969,6.2,-0.8009913627559879,-0.5458373030535345,-0.5967941862443882,-20.0,-0.931395915612703,0.6931471805599453,-0.22314355131420982,29,0.74604008371198,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Abdoulaye Bamba,Angers,0.997597145637911,2020/2021,2.0,1.2,-0.8710267891203998,16,-0.4766919162154083,15.0,-0.5393536473889601,-0.9648374359795794,-0.5967941862443882,-40.0,-1.1093276539783123,0.1823215567939546,-0.5108256237659907,30,0.598319916322641,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Achraf Hakimi,Real Madrid,-2.0986794723585924,2017/2018,0.3,5.0,-1.6158329297574838,8,-1.1403995301992882,8.4,1.122696227200923,1.5421250132065814,-0.5967941862443882,1566.6666666666667,-2.622066224332812,1.6094379124341003,2.8134107167600364,18,-2.9437838575294175,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Achraf Hakimi,Dortmund,-1.8406564208588836,2018/2019,7.5,30.0,-0.33902240295105385,19,-0.03384456087472094,19.3,1.6882429442776834,1.214417503509028,-0.5967941862443882,300.0,-0.055376899328052225,3.4011973816621555,1.3862943611198908,19,-0.09348965956655976,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Achraf Hakimi,Dortmund,-1.582633369359175,2019/2020,45.0,54.0,0.9377881238553762,29,1.0648225420697324,30.2,1.6085243165111278,1.4601981357821758,-0.5967941862443882,20.0,1.3733485790249838,3.9889840465642745,0.1823215567939549,20,2.2090645844076904,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Achraf Hakimi,Inter,-1.3246103178594664,2020/2021,50.0,60.0,1.3633916327908528,29,1.0084806393546322,29.6,0.36586738446359507,1.6895933925704791,1.6856756669185222,20.0,1.4573616710264476,4.0943445622221,0.18232155679395445,21,0.5332011027959407,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Adrián Marín,Villarreal,-1.582633369359175,2017/2018,1.0,1.0,-2.254238193160699,2,-1.73198950870784,2.6,-0.8177594285134235,-0.04316006495525592,-0.5967941862443882,0.0,-1.6620341160466978,0.0,0.0,20,1.3591440689081606,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Adrián Marín,Alaves,-1.3246103178594664,2018/2019,0.8,0.8,-1.9350355614590915,2,-1.6677597396126258,3.2,-0.6336480629194224,-0.7067677720927685,-0.5967941862443882,0.0,-1.8399658544123072,-0.2231435513142097,0.0,21,1.1658907994862384,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
