Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Overall_Performance_Index,Team_Rating,Latest_Transfer_Fee
Aaron Cresswell,West Ham,27,England,2017/2018,12.0,12.0,Wing-Back,eng Premier League,36,35,3069.0,34.1,-0.1800508279241074,-0.4999999999999964,4.28
Aaron Cresswell,West Ham,28,England,2018/2019,10.0,10.0,Wing-Back,eng Premier League,20,18,1589.0,17.7,-0.0824924683102411,-0.0749999999999992,4.28
Aaron Cresswell,West Ham,29,England,2019/2020,8.0,6.5,Wing-Back,eng Premier League,31,31,2727.0,30.3,-0.0704862143196597,-0.3249999999999945,4.28
Aaron Cresswell,West Ham,30,England,2020/2021,6.5,5.0,Wing-Back,eng Premier League,36,36,3170.0,35.2,-0.1249186773655955,0.374999999999997,4.28
Aaron Wan-Bissaka,Crystal Palace,19,England,2017/2018,1.0,1.0,Wing-Back,eng Premier League,7,7,627.0,7.0,-0.0586005188094558,-0.2499999999999953,0.0
Aaron Wan-Bissaka,Crystal Palace,20,England,2018/2019,5.0,35.0,Wing-Back,eng Premier League,35,35,3134.0,34.8,0.0892704361747209,-0.0499999999999985,0.0
Aaron Wan-Bissaka,Man United,21,England,2019/2020,40.0,32.0,Wing-Back,eng Premier League,35,34,3070.0,34.1,0.3329513162153141,0.7500000000000046,49.5
Aaron Wan-Bissaka,Man United,22,England,2020/2021,40.0,40.0,Wing-Back,eng Premier League,34,34,3060.0,34.0,0.6011483517165273,0.724999999999997,49.5
Aarón Martín,Espanol,20,Spain,2017/2018,10.0,12.0,Wing-Back,es La Liga,32,31,2816.0,31.3,-0.5099036629741155,-0.1499999999999982,0.0
Aarón Martín,Mainz,21,Spain,2018/2019,10.0,20.0,Wing-Back,de Bundesliga,33,32,2878.0,32.0,-0.116063778573333,-0.3055555555555628,0.0
Aarón Martín,Mainz,22,Spain,2019/2020,16.0,10.5,Wing-Back,de Bundesliga,22,21,1792.0,19.9,-0.5924621818857141,-0.5833333333333444,5.4
Aarón Martín,Celta,23,Spain,2020/2021,7.0,4.5,Wing-Back,es La Liga,19,17,1540.0,17.1,-0.8589937210699957,-0.0500000000000005,5.4
Abdoulaye Bamba,Angers,27,Côte d'Ivoire,2017/2018,1.0,1.0,Wing-Back,fr Ligue 1,18,17,1533.0,17.0,-0.3881820401964804,-0.2499999999999976,0.0
Abdoulaye Bamba,Angers,28,Côte d'Ivoire,2018/2019,1.0,3.0,Wing-Back,fr Ligue 1,30,29,2573.0,28.6,-0.1918110223245169,-0.1249999999999988,0.0
Abdoulaye Bamba,Angers,29,Côte d'Ivoire,2019/2020,2.5,2.0,Wing-Back,fr Ligue 1,7,6,554.0,6.2,-0.3243342755882096,-0.1658712025361544,0.0
Abdoulaye Bamba,Angers,30,Côte d'Ivoire,2020/2021,2.0,1.2,Wing-Back,fr Ligue 1,16,16,1347.0,15.0,-0.2183929598315126,-0.4499999999999983,0.0
Achraf Hakimi,Real Madrid,18,Morocco,2017/2018,0.3,5.0,Wing-Back,es La Liga,9,8,758.0,8.4,0.4545977453514124,1.2500000000000029,0.0
Achraf Hakimi,Dortmund,19,Morocco,2018/2019,7.5,30.0,Wing-Back,de Bundesliga,21,19,1740.0,19.3,0.6835967000508274,1.0277777777777697,0.0
Achraf Hakimi,Dortmund,20,Morocco,2019/2020,45.0,54.0,Wing-Back,de Bundesliga,33,29,2715.0,30.2,0.6513173465025065,1.1944444444444329,0.0
Achraf Hakimi,Inter,21,Morocco,2020/2021,50.0,60.0,Wing-Back,it Serie A,37,29,2665.0,29.6,0.1481455838588142,1.350000000000007,36.0
Adrián Marín,Villarreal,20,Spain,2017/2018,1.0,1.0,Wing-Back,es La Liga,3,2,233.0,2.6,-0.3311239348945736,0.1750000000000019,0.0
Adrián Marín,Alaves,21,Spain,2018/2019,0.8,0.8,Wing-Back,es La Liga,6,2,290.0,3.2,-0.2565742840943097,-0.2749999999999981,0.0
Adrián Marín,Alaves,22,Spain,2019/2020,0.8,0.65,Wing-Back,es La Liga,12,9,852.0,9.5,-0.8293834865479102,-0.6250000000000007,0.0
Adrián Marín,Granada,23,Spain,2020/2021,0.7,1.2,Wing-Back,es La Liga,9,3,269.0,3.0,-0.4484997840375847,-0.4499999999999998,0.0
Alberto Moreno,Liverpool,25,Spain,2017/2018,10.0,10.0,Wing-Back,eng Premier League,16,14,1266.0,14.1,0.276309234755464,1.150000000000003,16.2
Alberto Moreno,Liverpool,26,Spain,2018/2019,9.0,9.0,Wing-Back,eng Premier League,2,2,154.0,1.7,0.206143479423407,1.6750000000000018,16.2
Alberto Moreno,Villarreal,27,Spain,2019/2020,7.5,6.0,Wing-Back,es La Liga,18,17,1471.0,16.3,0.0460443247546055,0.3499999999999998,0.0
Alberto Moreno,Villarreal,28,Spain,2020/2021,5.0,2.5,Wing-Back,es La Liga,5,2,193.0,2.1,-0.5434019067246024,0.4000000000000002,0.0
Aleix Vidal,Barcelona,27,Spain,2017/2018,7.5,7.5,Wing-Back,es La Liga,15,4,468.0,5.2,0.1845395365042301,1.7500000000000022,15.3
Aleix Vidal,Sevilla,28,Spain,2018/2019,5.0,4.0,Wing-Back,es La Liga,11,5,528.0,5.9,0.1634224036436309,0.3750000000000016,8.37
Aleix Vidal,Alaves,29,Spain,2019/2020,4.5,3.5,Wing-Back,es La Liga,29,26,2165.0,24.1,-0.7494054198258289,-0.6250000000000007,8.37
Aleix Vidal,Sevilla,30,Spain,2020/2021,3.0,2.0,Wing-Back,es La Liga,12,5,595.0,6.6,0.6120219139051192,0.5,8.37
Aleksandar Kolarov,Roma,31,Serbia,2017/2018,10.0,12.0,Wing-Back,it Serie A,35,34,3060.0,34.0,0.3199994284922514,0.8250000000000107,4.5
Aleksandar Kolarov,Roma,32,Serbia,2018/2019,12.0,8.0,Wing-Back,it Serie A,33,32,2906.0,32.3,0.2275588290631954,0.4500000000000003,4.5
Aleksandar Kolarov,Roma,33,Serbia,2019/2020,8.0,6.5,Wing-Back,it Serie A,32,30,2732.0,30.4,0.4211585642153969,0.6500000000000031,4.5
Aleksandar Kolarov,Inter,34,Serbia,2020/2021,5.0,1.5,Wing-Back,it Serie A,7,4,390.0,4.3,0.3135053058889379,1.350000000000007,1.35
Alessandro Florenzi,Roma,26,Italy,2017/2018,20.0,30.0,Wing-Back,it Serie A,32,26,2387.0,26.5,0.0215580905596105,0.8250000000000107,1.13
Alessandro Florenzi,Roma,27,Italy,2018/2019,30.0,25.0,Wing-Back,it Serie A,29,24,2180.0,24.2,-0.0540933275269891,0.4500000000000003,1.13
Alessandro Florenzi,Roma,28,Italy,2019/2020,20.0,16.0,Wing-Back,it Serie A,14,12,997.0,11.1,-0.3724029853404631,0.6500000000000031,1.13
Alessandro Florenzi,Paris SG,29,Italy,2020/2021,10.0,13.0,Wing-Back,fr Ligue 1,21,18,1538.0,17.1,-0.1454258556842927,1.4500000000000024,1.13
Alex Sandro,Juventus,26,Brazil,2017/2018,35.0,45.0,Wing-Back,it Serie A,26,23,2117.0,23.5,0.7784623062381705,1.5500000000000114,23.4
Alex Sandro,Juventus,27,Brazil,2018/2019,50.0,45.0,Wing-Back,it Serie A,31,28,2387.0,26.5,0.4345961136992148,0.9999999999999998,23.4
Alex Sandro,Juventus,28,Brazil,2019/2020,50.0,40.0,Wing-Back,it Serie A,29,27,2385.0,26.5,0.3640500997502558,0.8250000000000025,23.4
Alex Sandro,Juventus,29,Brazil,2020/2021,35.0,20.0,Wing-Back,it Serie A,26,20,1858.0,20.6,0.7462856604391028,0.9750000000000068,23.4
Alfonso Pedraza,Alaves,21,Spain,2017/2018,1.0,5.0,Wing-Back,es La Liga,33,27,2440.0,27.1,-0.5953459444324902,-0.2499999999999984,0.0
Alfonso Pedraza,Villarreal,22,Spain,2018/2019,7.5,22.0,Wing-Back,es La Liga,34,22,2095.0,23.3,-0.2730388152789819,-0.0749999999999979,0.0
Alfonso Pedraza,Betis,23,Spain,2019/2020,17.5,9.5,Wing-Back,es La Liga,21,15,1349.0,15.0,-0.0749400735638771,-0.3000000000000002,0.0
Alfonso Pedraza,Villarreal,24,Spain,2020/2021,10.0,20.0,Wing-Back,es La Liga,29,24,2093.0,23.3,-0.0795034681231279,0.4000000000000002,0.0
Allan Nyom,West Brom,29,Cameroon,2017/2018,4.5,4.5,Wing-Back,eng Premier League,29,25,2310.0,25.7,-0.4028609298084576,-0.624999999999996,4.23
Allan Nyom,Leganes,30,Cameroon,2018/2019,3.5,3.0,Wing-Back,es La Liga,23,20,1708.0,19.0,-0.2337040029453867,-0.1499999999999982,4.23
Allan Nyom,Getafe,31,Cameroon,2019/2020,3.5,3.2,Wing-Back,es La Liga,34,31,2422.0,26.9,-0.5537001330451821,0.1500000000000001,2.7
Allan Nyom,Getafe,32,Cameroon,2020/2021,2.5,2.0,Wing-Back,es La Liga,31,28,2323.0,25.8,-0.4509711371777469,-0.3750000000000001,2.7
Almamy Touré,Monaco,21,Mali,2017/2018,4.0,8.0,Wing-Back,fr Ligue 1,20,13,1248.0,13.9,-0.0724261126659837,1.0000000000000029,0.0
Almamy Touré,Ein Frankfurt,22,Mali,2018/2019,8.0,6.5,Wing-Back,de Bundesliga,7,6,519.0,5.8,0.2104406587821064,0.3333333333333266,0.675
Almamy Touré,Ein Frankfurt,23,Mali,2019/2020,6.5,6.5,Wing-Back,de Bundesliga,19,18,1491.0,16.6,0.1147916474930872,-0.0277777777777885,0.675
Almamy Touré,Ein Frankfurt,24,Mali,2020/2021,5.5,5.5,Wing-Back,de Bundesliga,17,8,704.0,7.8,0.1763037913594918,0.4444444444444388,0.675
Ambroise Oyongo,Montpellier,26,Cameroon,2017/2018,0.75,0.75,Wing-Back,fr Ligue 1,3,3,201.0,2.2,-0.7341817765515233,0.0750000000000027,0.0
Ambroise Oyongo,Montpellier,27,Cameroon,2018/2019,1.5,4.0,Wing-Back,fr Ligue 1,26,25,2136.0,23.7,-0.4273200088827882,0.2750000000000013,0.0
Ambroise Oyongo,Montpellier,28,Cameroon,2019/2020,3.5,2.8,Wing-Back,fr Ligue 1,21,21,1821.0,20.2,-0.4754178777574622,0.0442828286169387,0.0
Ambroise Oyongo,Montpellier,29,Cameroon,2020/2021,2.5,2.2,Wing-Back,fr Ligue 1,13,5,558.0,6.2,-0.067195210634314,-0.0499999999999973,0.0
Ander Capa,Eibar,25,Spain,2017/2018,5.0,3.0,Wing-Back,es La Liga,33,25,2256.0,25.1,0.0645172482650269,-0.1499999999999983,0.0
Ander Capa,Ath Bilbao,26,Spain,2018/2019,3.0,3.0,Wing-Back,es La Liga,25,17,1642.0,18.2,-0.1765195761776714,-0.0999999999999977,2.7
Ander Capa,Ath Bilbao,27,Spain,2019/2020,7.5,6.0,Wing-Back,es La Liga,35,32,2872.0,31.9,0.0187364071955527,0.0749999999999999,2.7
Ander Capa,Ath Bilbao,28,Spain,2020/2021,5.0,6.0,Wing-Back,es La Liga,28,25,2131.0,23.7,-0.0514989706020789,0.1000000000000002,2.7
Andoni Gorosabel,Sociedad,20,Spain,2017/2018,0.2,1.0,Wing-Back,es La Liga,2,1,76.0,0.8,-1.113743313486644,0.1750000000000018,0.0
Andoni Gorosabel,Sociedad,21,Spain,2018/2019,2.5,1.5,Wing-Back,es La Liga,7,6,455.0,5.1,-0.4739662614873606,-0.0249999999999982,0.0
Andoni Gorosabel,Sociedad,22,Spain,2019/2020,2.0,1.6,Wing-Back,es La Liga,14,8,714.0,7.9,-0.1217867648993176,0.2,0.0
Andoni Gorosabel,Sociedad,23,Spain,2020/2021,3.0,10.0,Wing-Back,es La Liga,32,28,2382.0,26.5,-0.1181869661692533,0.5249999999999996,0.0
Andrea Conti,Milan,23,Italy,2017/2018,10.0,15.0,Wing-Back,it Serie A,2,2,157.0,1.7,0.4340176377750998,0.3500000000000109,21.6
Andrea Conti,Milan,24,Italy,2018/2019,14.0,15.0,Wing-Back,it Serie A,12,4,500.0,5.6,0.0699024636723011,0.4750000000000005,21.6
Andrea Conti,Milan,25,Italy,2019/2020,15.0,12.0,Wing-Back,it Serie A,23,21,1725.0,19.2,-0.0827781432826942,0.4250000000000023,21.6
Andrea Conti,Parma,26,Italy,2020/2021,10.0,4.5,Wing-Back,it Serie A,11,9,809.0,9.0,-0.0716028189409666,-1.0999999999999928,21.6
Andrew Robertson,Liverpool,23,Scotland,2017/2018,7.0,25.0,Wing-Back,eng Premier League,22,22,1940.0,21.6,0.4948719667856833,1.150000000000003,8.1
Andrew Robertson,Liverpool,24,Scotland,2018/2019,35.0,60.0,Wing-Back,eng Premier League,36,36,3216.0,35.7,0.433893147699834,1.6750000000000018,8.1
Andrew Robertson,Liverpool,25,Scotland,2019/2020,80.0,64.0,Wing-Back,eng Premier League,36,34,3111.0,34.6,0.5427304259378726,1.3000000000000054,8.1
Andrew Robertson,Liverpool,26,Scotland,2020/2021,75.0,65.0,Wing-Back,eng Premier League,38,38,3383.0,37.6,-0.1345001927402899,0.6499999999999976,8.1
Antonio Barragán,Betis,30,Spain,2017/2018,3.0,2.5,Wing-Back,es La Liga,29,28,2370.0,26.3,-0.0837986368517344,-0.0249999999999988,2.43
Antonio Barragán,Betis,31,Spain,2018/2019,2.0,2.0,Wing-Back,es La Liga,14,12,934.0,10.4,-0.4170124776254872,-0.1999999999999977,0.9
