Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Passing_Ability,Shot-Stopping,Territorial_Command,Team_Impact,Overall_Performance_Index
Alban Lafont,Toulouse,18,France,2017/2018,8000000,18000000,Goalkeeper,fr Ligue 1,38,38,3420.0,38.0,-0.3041804198694023,-0.6194779073367921,1.1867785582672872,-0.32271394218052163,-0.04457482429548424
Alban Lafont,Fiorentina,19,France,2018/2019,13000000,17000000,Goalkeeper,it Serie A,34,34,3015.0,33.5,-0.3855414988560988,-0.7528364726930691,0.6421589179349264,0.07118278138342345,-0.18866099346535373
Alban Lafont,Nantes,20,France,2019/2020,12000000,11000000,Goalkeeper,fr Ligue 1,27,27,2430.0,27.0,-0.3760218581875284,-0.87362188609975,0.9861924097767986,0.5947176691152621,-0.06401737187030564
Alban Lafont,Nantes,21,France,2020/2021,12500000,10000000,Goalkeeper,fr Ligue 1,38,38,3420.0,38.0,-0.8245424928972758,-0.2869991777069634,0.784606905824188,-0.6942174848462933,-0.21456623169265315
Alessio Cragno,Cagliari,23,Italy,2017/2018,3500000,9000000,Goalkeeper,it Serie A,29,29,2536.0,28.2,-0.9129431561016514,-0.5249525118407778,1.0298063635533932,-0.6951701966153828,-0.2587931067736442
Alessio Cragno,Cagliari,24,Italy,2018/2019,13000000,20000000,Goalkeeper,it Serie A,38,38,3420.0,38.0,-0.21980683739202084,1.4734658392660385,1.3039068468963653,-0.9237355549645022,0.6481777128745242
Alessio Cragno,Cagliari,25,Italy,2019/2020,20000000,16000000,Goalkeeper,it Serie A,16,16,1440.0,16.0,-0.3378328415218381,1.7545410964365769,-0.23957572787951364,-1.0109566197533706,0.31809374843945837
Alessio Cragno,Cagliari,26,Italy,2020/2021,20000000,20000000,Goalkeeper,it Serie A,34,34,3060.0,34.0,-0.36587855946068215,0.9839734821218731,0.08553872660939255,-1.2794273363245012,0.08239166008115795
Alex McCarthy,Southampton,27,England,2017/2018,3000000,2500000,Goalkeeper,eng Premier League,18,18,1620.0,18.0,-0.9575791472695119,-0.7578333633093348,-0.08535934520348515,-0.5867039064262876,-0.6139818862404596
Alex McCarthy,Southampton,28,England,2018/2019,4000000,5000000,Goalkeeper,eng Premier League,25,25,2250.0,25.0,-0.6894851420158021,-0.4920241512400364,-0.2237260516454529,-1.2077162840604572,-0.581668693958395
Alex McCarthy,Southampton,29,England,2019/2020,5000000,4000000,Goalkeeper,eng Premier League,28,28,2520.0,28.0,-0.17955816153411464,0.1952001683782363,-0.08679810956425478,0.059899586620411366,0.010715929150852052
Alex McCarthy,Southampton,30,England,2020/2021,6500000,5000000,Goalkeeper,eng Premier League,30,30,2700.0,30.0,-0.5621602633340977,-0.621024154202169,-0.049933193501265384,-1.1760257540117647,-0.5467856812813646
Alex Meret,SPAL,20,Italy,2017/2018,4000000,12000000,Goalkeeper,it Serie A,13,13,1158.0,12.9,-0.8130221613862592,1.4835052793336603,0.8791081361008469,-0.11575236541509554,0.5183854866331638
Alex Meret,Napoli,21,Italy,2018/2019,16000000,25000000,Goalkeeper,it Serie A,14,13,1151.0,12.8,-0.020670863039374217,1.070690957755245,-0.27307695936566495,1.0070325402550173,0.45235976065132855
Alex Meret,Napoli,22,Italy,2019/2020,30000000,28000000,Goalkeeper,it Serie A,22,21,1951.0,21.7,-0.6848167809941275,-0.8090965232132742,-0.8090186466944471,-0.21764316984186627,-0.6892891155230695
Alex Meret,Napoli,23,Italy,2020/2021,25000000,20000000,Goalkeeper,it Serie A,22,22,1980.0,22.0,0.11174564006511033,-0.32837198318545663,-1.1453175612180984,0.33202353476730473,-0.3235196441880611
