ID,Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,GA,GA/90,SoTA,SoTA/90,PSxG-GA,PSxG-GA/90,Save%,CS%,CrossAtt,CrossAtt/90,CrossStop%,PKAtt,PKAtt/90,PKSave%,ActOutPA,ActOutPA/90,SPassAtt,SPassAtt/90,SPassCmp,SPassCmp/90,LPassAtt,LPassAtt/90,LPassCmp,LPassCmp/90,SPass%,LPass%,PPM,On-Off
357117,Alban Lafont,Toulouse,18,France,2017/2018,8000000,18000000,Goalkeeper,fr Ligue 1,38,38,3420.0,38.0,54.0,1.42,161.0,4.2368421052631575,-1.4,-0.04,70.2,31.6,448.0,11.789473684210526,9.2,6.0,0.15789473684210525,0.0,44.0,1.16,234.0,6.157894736842105,229.0,6.026315789473684,709.0,18.657894736842106,326.0,8.578947368421053,97.9,46.0,0.97,
357117,Alban Lafont,Fiorentina,19,France,2018/2019,13000000,17000000,Goalkeeper,it Serie A,34,34,3015.0,33.5,40.0,1.19,118.0,3.5223880597014925,-3.5,-0.1,70.3,26.5,348.0,10.388059701492537,6.6,5.0,0.14925373134328357,16.7,28.0,0.84,330.0,9.850746268656716,321.0,9.582089552238806,596.0,17.791044776119403,271.0,8.08955223880597,97.3,45.5,1.15,0.31
357117,Alban Lafont,Nantes,20,France,2019/2020,12000000,11000000,Goalkeeper,fr Ligue 1,27,27,2430.0,27.0,29.0,1.07,91.0,3.3703703703703702,-3.6,-0.13,71.4,37.0,222.0,8.222222222222221,6.8,3.0,0.1111111111111111,40.0,23.0,0.85,242.0,8.962962962962964,239.0,8.851851851851851,548.0,20.296296296296298,222.0,8.222222222222221,98.8,40.5,1.37,0.93
357117,Alban Lafont,Nantes,21,France,2020/2021,12500000,10000000,Goalkeeper,fr Ligue 1,38,38,3420.0,38.0,55.0,1.45,158.0,4.157894736842105,-1.7,-0.04,71.5,13.2,327.0,8.605263157894736,7.3,10.0,0.2631578947368421,16.7,25.0,0.66,267.0,7.026315789473684,263.0,6.921052631578948,774.0,20.36842105263158,307.0,8.078947368421053,98.5,39.7,1.05,
12907,Alessio Cragno,Cagliari,23,Italy,2017/2018,3500000,9000000,Goalkeeper,it Serie A,29,29,2536.0,28.2,47.0,1.67,121.0,4.290780141843972,-2.7,-0.1,66.1,24.1,285.0,10.106382978723405,8.4,6.0,0.2127659574468085,25.0,13.0,0.46,156.0,5.531914893617022,147.0,5.212765957446809,534.0,18.93617021276596,259.0,9.184397163120568,94.2,48.5,0.9,-0.72
12907,Alessio Cragno,Cagliari,24,Italy,2018/2019,13000000,20000000,Goalkeeper,it Serie A,38,38,3420.0,38.0,54.0,1.42,195.0,5.131578947368421,4.3,0.11,76.4,18.4,449.0,11.81578947368421,7.6,8.0,0.21052631578947367,20.0,11.0,0.29,281.0,7.394736842105263,274.0,7.2105263157894735,846.0,22.263157894736842,418.0,11.0,97.5,49.4,1.08,
12907,Alessio Cragno,Cagliari,25,Italy,2019/2020,20000000,16000000,Goalkeeper,it Serie A,16,16,1440.0,16.0,21.0,1.31,86.0,5.375,3.6,0.23,76.7,18.8,176.0,11.0,8.0,1.0,0.0625,50.0,5.0,0.31,101.0,6.3125,98.0,6.125,292.0,18.25,126.0,7.875,97.0,43.2,0.75,-0.68
12907,Alessio Cragno,Cagliari,26,Italy,2020/2021,20000000,20000000,Goalkeeper,it Serie A,34,34,3060.0,34.0,53.0,1.56,177.0,5.205882352941177,2.2,0.06,72.9,17.6,320.0,9.411764705882353,9.7,5.0,0.14705882352941177,0.0,15.0,0.44,206.0,6.0588235294117645,205.0,6.029411764705882,570.0,16.764705882352942,276.0,8.117647058823529,99.5,48.4,0.82,-1.03
95976,Alex McCarthy,Southampton,27,England,2017/2018,3000000,2500000,Goalkeeper,eng Premier League,18,18,1620.0,18.0,26.0,1.44,67.0,3.7222222222222223,-4.2,-0.23,62.7,22.2,205.0,11.38888888888889,9.3,1.0,0.05555555555555555,0.0,5.0,0.28,60.0,3.3333333333333335,58.0,3.2222222222222223,385.0,21.38888888888889,132.0,7.333333333333333,96.7,34.3,0.94,0.0
95976,Alex McCarthy,Southampton,28,England,2018/2019,4000000,5000000,Goalkeeper,eng Premier League,25,25,2250.0,25.0,44.0,1.76,116.0,4.64,-3.2,-0.13,63.8,16.0,250.0,10.0,8.8,2.0,0.08,0.0,12.0,0.48,140.0,5.6,137.0,5.48,485.0,19.4,170.0,6.8,97.9,35.1,0.92,-0.33
95976,Alex McCarthy,Southampton,29,England,2019/2020,5000000,4000000,Goalkeeper,eng Premier League,28,28,2520.0,28.0,35.0,1.25,110.0,3.9285714285714284,6.5,0.23,69.1,25.0,258.0,9.214285714285714,7.8,1.0,0.03571428571428571,50.0,14.0,0.5,149.0,5.321428571428571,146.0,5.214285714285714,609.0,21.75,244.0,8.714285714285714,98.0,40.1,1.57,1.85
95976,Alex McCarthy,Southampton,30,England,2020/2021,6500000,5000000,Goalkeeper,eng Premier League,30,30,2700.0,30.0,57.0,1.9,141.0,4.7,-8.1,-0.27,63.8,23.3,239.0,7.966666666666667,9.2,6.0,0.2,0.0,20.0,0.67,287.0,9.566666666666666,284.0,9.466666666666667,585.0,19.5,209.0,6.966666666666667,99.0,35.7,1.03,-0.54
240414,Alex Meret,SPAL,20,Italy,2017/2018,4000000,12000000,Goalkeeper,it Serie A,13,13,1158.0,12.9,16.0,1.24,56.0,4.341085271317829,5.4,0.42,76.8,30.8,132.0,10.232558139534884,9.8,3.0,0.23255813953488372,40.0,3.0,0.23,76.0,5.891472868217054,73.0,5.658914728682171,257.0,19.92248062015504,112.0,8.682170542635658,96.1,43.6,1.0,-0.14
