Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Offensive_Contribution,Passing_Ability,Defensive_Performance,Team_Impact,Overall_Performance_Index
Aaron Cresswell,West Ham,27,England,2017/2018,12000000.0,12000000.0,Wing-Back,eng Premier League,36,35,3069.0,34.1,-0.42996888091078284,-0.869678684660431,0.19361214011387928,0.9859525847437742,-0.18005082792410743
Aaron Cresswell,West Ham,28,England,2018/2019,10000000.0,10000000.0,Wing-Back,eng Premier League,20,18,1589.0,17.7,-0.44476595845511646,0.22421765708815225,0.16774642757473554,-0.6382834469690175,-0.08249246831024118
Aaron Cresswell,West Ham,29,England,2019/2020,8000000.0,6500000.0,Wing-Back,eng Premier League,31,31,2727.0,30.3,-0.09395011246852884,-0.3166688674332393,0.2745874746323188,-0.592395798421028,-0.0704862143196597
Aaron Cresswell,West Ham,30,England,2020/2021,6500000.0,5000000.0,Wing-Back,eng Premier League,36,36,3170.0,35.2,-0.345115638894183,-0.050031196385288294,-0.7406716938603068,2.5035890625008883,-0.12491867736559553
Aaron Wan-Bissaka,Crystal Palace,19,England,2017/2018,1000000.0,1000000.0,Wing-Back,eng Premier League,7,7,627.0,7.0,-0.5441995289107976,-1.0160647282392326,0.9288296824037382,0.3358513308228318,-0.05860051880945587
Aaron Wan-Bissaka,Crystal Palace,20,England,2018/2019,5000000.0,35000000.0,Wing-Back,eng Premier League,35,35,3134.0,34.8,0.032935084591801424,-0.8434316823115703,0.560437840817356,0.9409458708899844,0.0892704361747209
Aaron Wan-Bissaka,Manchester Utd,21,England,2019/2020,40000000.0,32000000.0,Wing-Back,eng Premier League,35,34,3070.0,34.1,-0.01147657354531654,0.39669817014678677,0.37925250965715884,1.0448136736220681,0.3329513162153141
Aaron Wan-Bissaka,Manchester Utd,22,England,2020/2021,40000000.0,40000000.0,Wing-Back,eng Premier League,34,34,3060.0,34.0,0.19203596121959374,1.049832745740859,0.3371053161538269,1.630925162615949,0.6011483517165273
Aarón Martín,Espanyol,20,Spain,2017/2018,10000000.0,12000000.0,Wing-Back,es La Liga,32,31,2816.0,31.3,0.20447721657797083,-0.6403169803488646,-1.1565319803532994,-0.06381389736635802,-0.5099036629741155
Aarón Martín,Mainz 05,21,Spain,2018/2019,10000000.0,20000000.0,Wing-Back,de Bundesliga,33,32,2878.0,32.0,0.25253615367524623,-0.7086881693872602,-0.9968357723764121,3.3423993800265235,-0.116063778573333
Aarón Martín,Mainz 05,22,Spain,2019/2020,16000000.0,10500000.0,Wing-Back,de Bundesliga,22,21,1792.0,19.9,0.06425845854646366,-0.9238920963020266,-0.8067745515250165,-0.9839560234039072,-0.5924621818857141
